ID,Comp1_CT,Comp1_SA,Comp1_T1,Comp1_T2,Comp2_CT,Comp2_SA,Comp2_T1,Comp2_T2,Comp3_CT,Comp3_SA,Comp3_T1,Comp3_T2,Comp4_CT,Comp4_SA,Comp4_T1,Comp4_T2
ADB0243,1414.709569058139,1539.0024785601067,1428.6330735739248,1517.3395263811465,1455.1851031532235,1338.700720137843,1358.7653166552186,1489.5899279449438,1274.2998723135506,1281.745437813096,1402.1052912471937,1455.6795527340705,996.8116717261797,946.5107686321101,956.4159796971517,940.4432584908246
ADB0248,1515.9471353174658,1559.3971669259543,1391.6738827789486,1481.8720880177882,1533.9859936358077,1325.7658206550193,1354.0331600122756,1487.559771540355,1351.4031861228,1298.8107462037297,1411.7346977643258,1491.4309458116008,1031.2634038064657,973.8296480438535,942.3803432797145,941.4902822874683
ADB0250,1482.7432363792575,1693.3546574003879,1523.7796908081684,1520.131795653684,1515.053326705297,1418.4010111039313,1463.3285069570109,1489.606617721829,1298.3228641674134,1393.0384294127725,1544.4167322019123,1469.3048166379094,1010.3734203888049,1054.2778209703588,1054.2418286313666,941.4760930787099
ADB0252,1475.5832543759657,1566.818946412522,1564.5593289092014,1518.013276139965,1547.6539957894347,1321.548625820799,1487.0547993624655,1478.9702213098465,1343.9532890222688,1298.5353653221518,1516.6960498633487,1466.141316293125,1038.380376615984,948.9457052651635,1044.1157294552575,959.9445180092316
ADB0257,1483.8484969085,1653.9343874702263,1477.9198413202837,1515.3690801137998,1497.9585781629219,1363.34677804388,1419.4226621732917,1489.3258997831497,1309.0826676376842,1344.9044979438606,1456.4873280482116,1475.9404789238074,1004.0521279250994,992.07251551371,999.1189287524114,903.9849916629153
ADB0258,1426.8145693496613,1564.9710557849407,1488.593418519215,1496.81735526017,1462.3159900325466,1336.7670779673101,1456.4939405977334,1514.4379128505755,1265.5253265276,1288.5035616925265,1502.9225807256335,1485.6385606615404,985.9414934639143,985.125963248387,1012.7491594708558,906.8166254141049
ADB0260,1565.4108034407345,1680.1931261758032,1521.0033523434165,1517.4196697019154,1583.1468790425793,1398.954181108978,1494.9058236659423,1499.4664083746181,1358.9562952798808,1364.4873393688565,1516.9190349555165,1475.6446649991165,1053.2227490240862,1054.030171882862,1040.8033040126154,917.7192414430885
ADB0263,1499.9760996518942,1617.915498645114,1518.2525874475564,1523.3211233275956,1543.6478688235209,1367.8858574305445,1510.0986258324738,1505.4165963407381,1351.3594508727044,1334.2254050017627,1563.1200104711393,1464.0648541596215,1045.777482064238,991.4248930475818,1040.5436532814201,900.7969891506136
ADB0271,1574.9754751204155,1687.5748357086572,1493.7438114755794,1477.3969841423889,1615.5316687859572,1385.2931039840878,1447.9544252932446,1523.4186715075737,1386.750546488855,1381.423240585269,1490.4205439671312,1488.3529808102885,1066.7268403632143,1016.3700915248326,1021.937024328624,929.791508284111
ADB0275,1469.137660194298,1555.1226291766393,1431.6560071284127,1528.5288003090504,1479.2779172068022,1292.267182019485,1388.1656406963796,1507.9293054369928,1310.2245447902696,1266.3001970955218,1448.1814837862166,1457.838395346372,995.8893109400017,931.4168436475945,977.180462833604,889.2388346205228
ADB0276,1544.1191340314515,1693.662996231439,1365.8782566296293,1499.7765785078157,1540.0177126946974,1419.098188670508,1362.1538577877254,1502.9430375033073,1344.0935308020444,1385.590990044141,1414.7326229714347,1480.3155754023032,1021.5696422668914,1048.6834287607078,945.422323949295,932.4074143194799
ADB0279,1496.8131980004068,1666.0775328252519,1571.5459178546555,1511.529057955152,1518.1808740333074,1371.4985969337765,1506.662348280256,1513.6719037666571,1336.8369444817945,1384.6233465802,1546.1876578622553,1460.7753514700282,1020.1097503083071,1025.9112883304783,1060.3277052902617,910.735931730408
ADB0280,1612.6519408725678,1689.8722988857637,1497.3795165033712,1492.3587172432087,1654.3991824266873,1449.2230750654048,1448.5929239969178,1515.231235348946,1437.9383818975064,1387.443462488849,1491.7126317115303,1464.2884897790507,1098.8987789980367,1059.0612578867092,1027.0265808727281,934.3832343714073
ADB0281,1398.613979436307,1701.532474087209,1550.6000634038974,1526.4662050716686,1446.9022904815379,1455.6671557596485,1461.8805242263224,1474.7468533419108,1237.6244180155002,1446.7373947198705,1513.7037597993099,1436.507402585497,986.5150208550684,1091.8396086572372,1031.5598010657125,953.0937607489599
ADB0282,1470.608241186877,1681.697219635559,1530.7217708710918,1519.181391659139,1490.5857725699143,1436.2043109817512,1477.7055295345074,1500.8532480644608,1306.3172456126852,1393.9538182959243,1539.6074057314618,1474.2622483614523,1008.5932337434552,1024.2295218611805,1032.7684659171196,881.4173092690088
ADB0284,1555.2976538090395,1638.0318829909286,1486.5495663787024,1480.2083900615312,1608.7719839667336,1340.3867114893594,1446.433177520507,1485.9019092003841,1395.417263208811,1338.6712209614204,1472.4920166260058,1476.7275230406597,1086.8635266015672,987.145689573557,1017.4817863948961,968.9451373478544
ADB0286,1487.1685305634082,1569.1810787557383,1444.206357522311,1487.2439050078235,1537.2634673276614,1315.5862867783185,1402.5491231553917,1487.8208166604995,1342.7891780780153,1281.8589920226398,1454.183319191704,1521.0652405698065,1013.88721743707,940.9902293293334,992.6318216875984,926.8823578809362
ADB0289,1510.1469189424286,1606.4986436328554,1440.9411009826329,1507.23955371811,1516.789928553526,1360.4726564869165,1398.7169275613576,1485.2013542278462,1351.2922051039213,1325.8614735567817,1429.6648604922764,1473.0317094376026,1030.1674739895695,977.4003609064141,1003.5670042893224,946.0691357029118
ADB0290,1569.696137473152,1735.095166443718,1615.6441040416275,1490.125578185226,1612.986657735383,1419.3658709122512,1556.1311147697315,1495.005267522625,1393.6793068052366,1393.4192288594445,1604.1629411230501,1470.6151577980331,1069.5814016623979,1039.7669725011265,1104.562521407715,944.8692117293149
ADB0291,1441.7282007403287,1558.6841184843613,1560.9346825708133,1535.658315475727,1490.5544303844206,1332.5557690080932,1477.1662351990155,1489.4160889628133,1308.6128441739813,1319.4377222549751,1536.2407459107078,1471.7036461875005,997.2169603482602,937.5514063834505,1048.9430987143187,921.1885620432171
ADB0292,1520.8065466423457,1616.8284591884906,1498.048703955597,1520.8856760862816,1572.0541013831344,1397.968915225276,1445.8814624512434,1484.5514858020256,1354.42195167831,1369.7373291386411,1489.5407404140583,1468.9684727623992,1046.9770213497704,1028.4666548380512,1012.7167152038271,928.1656837928925
ADB0294,1561.5898130237424,1684.619090253837,1454.2836477864885,1509.7275621800768,1622.2240930705095,1416.266101323864,1425.8213611575216,1495.4649588698376,1407.7387774798117,1338.1062906992531,1490.4189970883037,1462.2273931249902,1071.7906549451454,1012.1986712786544,1016.0808310706867,934.9336846932594
ADB0295,1492.5765157854744,1723.7656445648536,1477.5227005713261,1524.121323093354,1528.004185289037,1434.0992674192705,1431.780756068242,1485.5668079847478,1318.2901971671567,1420.8508946332176,1497.839172875575,1460.39644905549,1000.6973354537654,1033.5899958260236,1039.0900647352369,935.4983443669068
ADB0298,1465.1823402011662,1636.5510764806331,1566.5009699692291,1513.5309798318938,1534.2394842761207,1423.3682508823576,1525.0357532220253,1477.014520447295,1324.2003398721743,1387.5702615245248,1580.8627301477034,1503.7153170486372,1031.8862896050307,1040.8370157614172,1070.0157687173262,949.1540277929126
ADB0305,1539.1456729821514,1614.412988017403,1505.435081370716,1492.552313286767,1588.906582705838,1364.4539327691216,1464.2266301664301,1485.570749971427,1391.0262919281045,1343.7157559161244,1506.2833970832623,1496.8130788201659,1053.317344650313,1009.2698409049857,1033.277780197682,928.3572319459064
ADB0306,1434.9467542109355,1593.9008638756218,1625.9765359191522,1522.290996918776,1486.4153411366353,1335.0676301280944,1514.957122793959,1507.0038575197195,1351.7979764819984,1328.8937061800482,1553.8022639309063,1450.0091129110408,982.5391281689296,939.0094632705772,1066.279483346249,928.3778402789364
ADB0307,1661.1789362398001,1834.9345535202647,1585.626943220538,1520.8316843921955,1634.739634193249,1464.6477013766043,1555.0581650060658,1490.5290836753638,1424.2150767308472,1459.6109176573552,1597.8851299814046,1434.7359061032691,1079.1776445766016,1094.927565835483,1095.6620029151252,943.0148867147329
